COMMODITYNAME	CONTRACTMONTH	OPEN	HIGH	LOW	CLOSE	PRICE	CHANGE	TOTALVOLUME	OI	CHANGE	EFP	EFS	BLOCKVOLUME	SPREADVOLUME
Z	15-Jun	6940.00	7033.00	6938.00	7016.00	7012.00	144	152874			0	0	6873	6027
Z	15-Sep	6925.50	6966.50	6924.00	6963.50	6959.50	144	10			0	0	0	3
Z	15-Dec	6890.50	6890.50	6890.50	6935.50	6931.50	144	2			0	0	0	0
Z	16-Mar					6879.00	144	0			0	0	0	0
