COMMODITYNAME	MONTH	STRIKE	PC	DELTA	OPEN	HIGH	LOW	CLOSE	PRICE	CHANGE	TOTALVOLUME	BLOCKVOLUME	EOO	SPREADVOLUME
ESX	Sep15	6000	P	-0.0913	38.0	38.0	38.0	38.0	36.0	-21.0	2	0	0	0
ESX	Sep15	6100	P	-0.1092	44.5	44.5	44.0	44.5	43.0	-25.0	100	0	0	0
ESX	Sep15	6425	P	-0.1965	84.0	84.0	84.0	84.0	79.0	-41.5	11	0	0	0
ESX	Sep15	6450	P	-0.2057	88.0	88.0	88.0	88.0	83.0	-42.5	113	0	0	101
ESX	Sep15	6500	P	-0.2250					91.5	-46.0	250	0	0	250
ESX	Sep15	6600	P	-0.2676	115.0	115.0	115.0	115.0	110.0	-54.0	20	0	0	0
ESX	Sep15	6650	P	-0.2918	130.5	130.5	130.5	130.5	121.0	-58.0	30	0	0	0
ESX	Sep15	6700	P	-0.3180					133.5	-62.0	2	0	0	2
ESX	Sep15	6850	P	-0.4080	184.0	184.0	184.0	184.0	178.5	-75.0	10	0	0	0
ESX	Sep15	6900	P	-0.4417	214.5	214.5	214.5	214.5	196.5	-79.5	7	0	0	4
ESX	Sep15	6950	P	-0.4770	226.5	226.5	226.5	226.5	216.5	-84.5	2	0	0	0
ESX	Sep15	6975	P	-0.4953	232.5	245.5	232.5	245.5	226.5	-87.5	30	0	0	0
ESX	Sep15	7000	P	-0.5139					237.5	-90.5	250	0	0	250
ESX	Sep15	7025	P	-0.5328	258.0	258.0	258.0	258.0	249.0	-93.0	20	0	0	0
ESX	Sep15	7100	P	-0.5910					286.5	-101.5	4	0	0	4
ESX	Oct15	5800	P	-0.0788	38.0	38.0	38.0	38.0	35.5	-18.5	10	0	0	0
ESX	Oct15	6300	P	-0.1786	80.5	80.5	80.5	80.5	82.0	-36.5	47	0	0	45
ESX	Dec15	3870	P	-0.0059	5.0	5.0	5.0	5.0	3.5	-2.0	14	0	0	0
ESX	Dec15	4000	P	-0.0075	6.0	6.0	6.0	6.0	4.5	-2.0	17	0	0	0
ESX	Dec15	4200	P	-0.0105	8.0	8.0	8.0	8.0	6.0	-3.0	15	0	0	0
ESX	Dec15	4300	P	-0.0123	9.0	9.0	9.0	9.0	7.0	-3.5	8	0	0	0
ESX	Dec15	4400	P	-0.0145	10.5	10.5	10.5	10.5	8.5	-4.0	5	0	0	0
ESX	Dec15	5200	P	-0.0471					26.5	-11.0	10	0	0	10
ESX	Dec15	5300	P	-0.0542	32.0	32.0	32.0	32.0	30.0	-13.0	10	0	0	0
ESX	Dec15	5700	P	-0.0960					53.5	-21.0	10	0	0	10
ESX	Dec15	5800	P	-0.1103	68.5	68.5	68.5	68.5	61.5	-24.0	5	0	0	0
ESX	Dec15	6175	P	-0.1845	112.5	112.5	110.0	110.5	104.0	-38.5	213	0	0	0
ESX	Dec15	6200	P	-0.1908	110.0	110.0	110.0	110.0	108.0	-39.0	1	0	0	0
ESX	Dec15	6400	P	-0.2493					144.0	-49.0	101	0	0	101
ESX	Dec15	6450	P	-0.2660	172.0	172.0	172.0	172.0	154.5	-52.0	30	0	0	0
ESX	Dec15	6500	P	-0.2838	183.5	183.5	183.5	183.5	166.0	-55.0	2	0	0	0
ESX	Dec15	6600	P	-0.3221					191.0	-61.0	101	0	0	101
ESX	Dec15	6700	P	-0.3643					219.0	-68.5	101	0	0	101
ESX	Dec15	6800	P	-0.4108	278.0	278.0	278.0	278.0	252.5	-74.5	1	0	0	0
ESX	Dec15	6900	P	-0.4610	308.0	308.0	308.0	308.0	290.0	-82.0	2	0	0	0
ESX	Dec15	6950	P	-0.4874	318.0	318.0	318.0	318.0	310.5	-86.0	47	0	0	45
ESX	Sep15	6950	P	-0.4770	226.5	226.5	226.5	226.5	216.5	-84.5	2	0	0	0
ESX	Sep15	6975	P	-0.4953	232.5	245.5	232.5	245.5	226.5	-87.5	30	0	0	0
ESX	Sep15	7000	P	-0.5139					237.5	-90.5	250	0	0	250
ESX	Sep15	7025	P	-0.5328	258.0	258.0	258.0	258.0	249.0	-93.0	20	0	0	0
ESX	Sep15	7100	P	-0.5910					286.5	-101.5	4	0	0	4
ESX	Oct15	5800	P	-0.0788	38.0	38.0	38.0	38.0	35.5	-18.5	10	0	0	0
ESX	Oct15	6300	P	-0.1786	80.5	80.5	80.5	80.5	82.0	-36.5	47	0	0	45
ESX	Dec15	3870	P	-0.0059	5.0	5.0	5.0	5.0	3.5	-2.0	14	0	0	0
ESX	Dec15	4000	P	-0.0075	6.0	6.0	6.0	6.0	4.5	-2.0	17	0	0	0
ESX	Dec15	4200	P	-0.0105	8.0	8.0	8.0	8.0	6.0	-3.0	15	0	0	0
ESX	Dec15	4300	P	-0.0123	9.0	9.0	9.0	9.0	7.0	-3.5	8	0	0	0
ESX	Dec15	4400	P	-0.0145	10.5	10.5	10.5	10.5	8.5	-4.0	5	0	0	0
ESX	Dec15	5200	P	-0.0471					26.5	-11.0	10	0	0	10
ESX	Dec15	5300	P	-0.0542	32.0	32.0	32.0	32.0	30.0	-13.0	10	0	0	0
ESX	Dec15	5700	P	-0.0960					53.5	-21.0	10	0	0	10
ESX	Dec15	5800	P	-0.1103	68.5	68.5	68.5	68.5	61.5	-24.0	5	0	0	0
ESX	Dec15	6175	P	-0.1845	112.5	112.5	110.0	110.5	104.0	-38.5	213	0	0	0
ESX	Dec15	6200	P	-0.1908	110.0	110.0	110.0	110.0	108.0	-39.0	1	0	0	0
ESX	Dec15	6400	P	-0.2493					144.0	-49.0	101	0	0	101
ESX	Dec15	6450	P	-0.2660	172.0	172.0	172.0	172.0	154.5	-52.0	30	0	0	0
ESX	Dec15	6500	P	-0.2838	183.5	183.5	183.5	183.5	166.0	-55.0	2	0	0	0
ESX	Dec15	6600	P	-0.3221					191.0	-61.0	101	0	0	101
ESX	Dec15	6700	P	-0.3643					219.0	-68.5	101	0	0	101
ESX	Dec15	6800	P	-0.4108	278.0	278.0	278.0	278.0	252.5	-74.5	1	0	0	0
ESX	Dec15	6900	P	-0.4610	308.0	308.0	308.0	308.0	290.0	-82.0	2	0	0	0
ESX	Dec15	6950	P	-0.4874	318.0	318.0	318.0	318.0	310.5	-86.0	47	0	0	45
ESX	Dec15	7000	P	-0.5146	345.0	345.0	345.0	345.0	333.0	-89.5	1	0	0	0
ESX	Mar16	5500	P	-0.1056					73.5	-22.5	15	0	0	15
ESX	Mar16	7000	P	-0.5251	461.0	461.0	461.0	461.0	428.5	-89.0	2	0	0	0
